userName,score,at,content
sumino gerald,5,2025-12-10 10:48:15,"dengan adanya aplikasi PLN MOBILE saya jadi tidak perlu repot repot lagi untuk mengurus segala macam kegiatan kelistrikan yang sebelumnya cukup sulit, tapi sekarang ada PLN MOBILE jadi saya merasa terbantu"
Pak Lurah,5,2025-12-10 10:47:47,"pengajuan pasang baru makin mudah dengan aplikasi PLN Mobile, mantap"
IWAN KURNIAWAN,5,2025-12-10 10:46:44,PLN Mobile sangat membantu pelanggan
Windayanti,5,2025-12-10 10:46:15,pln mobile sekarang banyak promonya mantapp
aisyah geulis,5,2025-12-10 10:46:12,"aplikasi PLN mobile sangat memudahkan pelanggan dalam melakukan berbagai macam kegiatan kelistrikan, jadi kami para pelanggan sangat terbantu, terimakasih pln mobile"
Edalwayz Van Ansel,5,2025-12-10 10:46:05,Sangat membantu dan memudahkan dalam transaksi pembelian Token Listrik.
Sabariah Sabariah,5,2025-12-10 10:45:51,aman mantap aplikasinya akan slalu berguna buat mayarakat...
Zubai Rio,5,2025-12-10 10:45:44,is the best
Dony fariz,5,2025-12-10 10:45:13,sangat membantu 👍
Isra Mishall,5,2025-12-10 10:45:06,baik
Dian Apriyanti,5,2025-12-10 10:44:02,pln mobile sangat membantu
Rina Triwahyuni,5,2025-12-10 10:43:51,pln mobil tetap mudah untuk semuanya
Asep Susanto,5,2025-12-10 10:43:36,memudahkan saya untuk membeli token
doni Farista,5,2025-12-10 10:43:22,aplikasi yang sangat membantu👍
Jaya Pratama,5,2025-12-10 10:42:59,"Saya sangat puas dengan kemudahan dan kecepatan layanan yang disediakan oleh PLN Mobile. Aplikasi ini sangat membantu saya dalam mengelola kebutuhan listrik saya dan menghemat waktu saya. Saya sangat merekomendasikan aplikasi ini kepada semua pelanggan PLN!"""
Thura putra,5,2025-12-10 10:42:08,semoga masyarakat semakin puas dengan pelayanan melalui aplikasi ini
asep ahmaludin,5,2025-12-10 10:41:42,pln makin mantap pelayanan cepat
Bang Wijaya Lombok,5,2025-12-10 10:40:13,memudahkan
Taki Mbelid,5,2025-12-10 10:39:54,mantab jiwa
Made Sutama,5,2025-12-10 10:39:34,pln mobaik sangat bagus
